color,director_name,movie_facebook_likes,plot_keywords,genres,actor_1_name,imdb_score,movie_title,combine
Color,James Cameron,33000,avatar future marine native paraplegic,Action Adventure Fantasy Sci-Fi,CCH Pounder,7.9,avatar,Color James Cameron CCH Pounder Action Adventure Fantasy Sci-Fi avatar future marine native paraplegic
Color,Gore Verbinski,0,goddess marriage ceremony marriage proposal pirate singapore,Action Adventure Fantasy,Johnny Depp,7.1,pirates of the caribbean: at world's end,Color Gore Verbinski Johnny Depp Action Adventure Fantasy goddess marriage ceremony marriage proposal pirate singapore
Color,Sam Mendes,85000,bomb espionage sequel spy terrorist,Action Adventure Thriller,Christoph Waltz,6.8,spectre,Color Sam Mendes Christoph Waltz Action Adventure Thriller bomb espionage sequel spy terrorist
Color,Christopher Nolan,164000,deception imprisonment lawlessness police officer terrorist plot,Action Thriller,Tom Hardy,8.5,the dark knight rises,Color Christopher Nolan Tom Hardy Action Thriller deception imprisonment lawlessness police officer terrorist plot
unknown,Doug Walker,0,unknown,Documentary,Doug Walker,7.1,star wars: episode vii - the force awakens            ,unknown Doug Walker Doug Walker Documentary unknown
Color,Andrew Stanton,24000,alien american civil war male nipple mars princess,Action Adventure Sci-Fi,Daryl Sabara,6.6,john carter,Color Andrew Stanton Daryl Sabara Action Adventure Sci-Fi alien american civil war male nipple mars princess
Color,Sam Raimi,0,sandman spider man symbiote venom villain,Action Adventure Romance,J.K. Simmons,6.2,spider-man 3,Color Sam Raimi J.K. Simmons Action Adventure Romance sandman spider man symbiote venom villain
Color,Nathan Greno,29000,17th century based on fairy tale disney flower tower,Adventure Animation Comedy Family Fantasy Musical Romance,Brad Garrett,7.8,tangled,Color Nathan Greno Brad Garrett Adventure Animation Comedy Family Fantasy Musical Romance 17th century based on fairy tale disney flower tower
Color,Joss Whedon,118000,artificial intelligence based on comic book captain america marvel cinematic universe superhero,Action Adventure Sci-Fi,Chris Hemsworth,7.5,avengers: age of ultron,Color Joss Whedon Chris Hemsworth Action Adventure Sci-Fi artificial intelligence based on comic book captain america marvel cinematic universe superhero
Color,David Yates,10000,blood book love potion professor,Adventure Family Fantasy Mystery,Alan Rickman,7.5,harry potter and the half-blood prince,Color David Yates Alan Rickman Adventure Family Fantasy Mystery blood book love potion professor
Color,Zack Snyder,197000,based on comic book batman sequel to a reboot superhero superman,Action Adventure Sci-Fi,Henry Cavill,6.9,batman v superman: dawn of justice,Color Zack Snyder Henry Cavill Action Adventure Sci-Fi based on comic book batman sequel to a reboot superhero superman
Color,Bryan Singer,0,crystal epic lex luthor lois lane return to earth,Action Adventure Sci-Fi,Kevin Spacey,6.1,superman returns,Color Bryan Singer Kevin Spacey Action Adventure Sci-Fi crystal epic lex luthor lois lane return to earth
Color,Marc Forster,0,action hero attempted rape bond girl official james bond series revenge,Action Adventure,Giancarlo Giannini,6.7,quantum of solace,Color Marc Forster Giancarlo Giannini Action Adventure action hero attempted rape bond girl official james bond series revenge
Color,Gore Verbinski,5000,box office hit giant squid heart liar's dice monster,Action Adventure Fantasy,Johnny Depp,7.3,pirates of the caribbean: dead man's chest,Color Gore Verbinski Johnny Depp Action Adventure Fantasy box office hit giant squid heart liar's dice monster
Color,Gore Verbinski,48000,horse outlaw texas texas ranger train,Action Adventure Western,Johnny Depp,6.5,the lone ranger,Color Gore Verbinski Johnny Depp Action Adventure Western horse outlaw texas texas ranger train
Color,Zack Snyder,118000,based on comic book british actor playing american character final battle origin of hero reboot,Action Adventure Fantasy Sci-Fi,Henry Cavill,7.2,man of steel,Color Zack Snyder Henry Cavill Action Adventure Fantasy Sci-Fi based on comic book british actor playing american character final battle origin of hero reboot
Color,Andrew Adamson,0,brother brother relationship brother sister relationship good versus evil king narnia,Action Adventure Family Fantasy,Peter Dinklage,6.6,the chronicles of narnia: prince caspian,Color Andrew Adamson Peter Dinklage Action Adventure Family Fantasy brother brother relationship brother sister relationship good versus evil king narnia
Color,Joss Whedon,123000,alien invasion assassin battle iron man soldier,Action Adventure Sci-Fi,Chris Hemsworth,8.1,the avengers,Color Joss Whedon Chris Hemsworth Action Adventure Sci-Fi alien invasion assassin battle iron man soldier
Color,Rob Marshall,58000,blackbeard captain pirate revenge soldier,Action Adventure Fantasy,Johnny Depp,6.7,pirates of the caribbean: on stranger tides,Color Rob Marshall Johnny Depp Action Adventure Fantasy blackbeard captain pirate revenge soldier
Color,Barry Sonnenfeld,40000,alien criminal m.i.b. maximum security prison prison,Action Adventure Comedy Family Fantasy Sci-Fi,Will Smith,6.8,men in black 3,Color Barry Sonnenfeld Will Smith Action Adventure Comedy Family Fantasy Sci-Fi alien criminal m.i.b. maximum security prison prison
Color,Peter Jackson,65000,army elf hobbit middle earth orc,Adventure Fantasy,Aidan Turner,7.5,the hobbit: the battle of the five armies,Color Peter Jackson Aidan Turner Adventure Fantasy army elf hobbit middle earth orc
Color,Marc Webb,56000,lizard outcast spider spider man teenager,Action Adventure Fantasy,Emma Stone,7.0,the amazing spider-man,Color Marc Webb Emma Stone Action Adventure Fantasy lizard outcast spider spider man teenager
Color,Ridley Scott,17000,1190s archer england king of england robin hood,Action Adventure Drama History,Mark Addy,6.7,robin hood,Color Ridley Scott Mark Addy Action Adventure Drama History 1190s archer england king of england robin hood
Color,Peter Jackson,83000,dwarf elf lake town mountain sword and sorcery,Adventure Fantasy,Aidan Turner,7.9,the hobbit: the desolation of smaug,Color Peter Jackson Aidan Turner Adventure Fantasy dwarf elf lake town mountain sword and sorcery
Color,Chris Weitz,0,children epic friend girl quest,Adventure Family Fantasy,Christopher Lee,6.1,the golden compass,Color Chris Weitz Christopher Lee Adventure Family Fantasy children epic friend girl quest
Color,Peter Jackson,0,animal name in title ape abducts a woman gorilla island king kong,Action Adventure Drama Romance,Naomi Watts,7.2,king kong,Color Peter Jackson Naomi Watts Action Adventure Drama Romance animal name in title ape abducts a woman gorilla island king kong
Color,James Cameron,26000,artist love ship titanic wet,Drama Romance,Leonardo DiCaprio,7.7,titanic,Color James Cameron Leonardo DiCaprio Drama Romance artist love ship titanic wet
Color,Anthony Russo,72000,based on comic book knife marvel cinematic universe returning character killed off superhero,Action Adventure Sci-Fi,Robert Downey Jr.,8.2,captain america: civil war,Color Anthony Russo Robert Downey Jr. Action Adventure Sci-Fi based on comic book knife marvel cinematic universe returning character killed off superhero
Color,Peter Berg,44000,box office flop hawaii naval oahu hawaii ship,Action Adventure Sci-Fi Thriller,Liam Neeson,5.9,battleship,Color Peter Berg Liam Neeson Action Adventure Sci-Fi Thriller box office flop hawaii naval oahu hawaii ship
Color,Colin Trevorrow,150000,dinosaur disaster film experiment gone wrong jurassic park velociraptor,Action Adventure Sci-Fi Thriller,Bryce Dallas Howard,7.0,jurassic world,Color Colin Trevorrow Bryce Dallas Howard Action Adventure Sci-Fi Thriller dinosaur disaster film experiment gone wrong jurassic park velociraptor
Color,Sam Mendes,80000,brawl childhood home computer cracker intelligence agency terrorist cell,Action Adventure Thriller,Albert Finney,7.8,skyfall,Color Sam Mendes Albert Finney Action Adventure Thriller brawl childhood home computer cracker intelligence agency terrorist cell
Color,Sam Raimi,0,death doctor scientist super villain tentacle,Action Adventure Fantasy Romance,J.K. Simmons,7.3,spider-man 2,Color Sam Raimi J.K. Simmons Action Adventure Fantasy Romance death doctor scientist super villain tentacle
Color,Shane Black,95000,armor explosion human bomb missile attack terrorist,Action Adventure Sci-Fi,Robert Downey Jr.,7.2,iron man 3,Color Shane Black Robert Downey Jr. Action Adventure Sci-Fi armor explosion human bomb missile attack terrorist
Color,Tim Burton,24000,alice in wonderland mistaking reality for dream queen shrinking shrinking potion,Adventure Family Fantasy,Johnny Depp,6.5,alice in wonderland,Color Tim Burton Johnny Depp Adventure Family Fantasy alice in wonderland mistaking reality for dream queen shrinking shrinking potion
Color,Brett Ratner,0,battle mutant outrage walking through a wall x men,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,6.8,x-men: the last stand,Color Brett Ratner Hugh Jackman Action Adventure Fantasy Sci-Fi Thriller battle mutant outrage walking through a wall x men
Color,Dan Scanlon,44000,cheating fraternity monster singing in a car university,Adventure Animation Comedy Family Fantasy,Steve Buscemi,7.3,monsters university,Color Dan Scanlon Steve Buscemi Adventure Animation Comedy Family Fantasy cheating fraternity monster singing in a car university
Color,Michael Bay,0,autobot decepticon machine sun symbol,Action Adventure Sci-Fi,Glenn Morshower,6.0,transformers: revenge of the fallen,Color Michael Bay Glenn Morshower Action Adventure Sci-Fi autobot decepticon machine sun symbol
Color,Michael Bay,56000,blockbuster bumblebee the character semi truck and trailer texas truck,Action Adventure Sci-Fi,Bingbing Li,5.7,transformers: age of extinction,Color Michael Bay Bingbing Li Action Adventure Sci-Fi blockbuster bumblebee the character semi truck and trailer texas truck
Color,Sam Raimi,60000,circus magic magician oz witch,Adventure Family Fantasy,Tim Holmes,6.4,oz the great and powerful,Color Sam Raimi Tim Holmes Adventure Family Fantasy circus magic magician oz witch
Color,Marc Webb,41000,costumed hero death of girlfriend masked vigilante returning character killed off teenager,Action Adventure Fantasy Sci-Fi,Emma Stone,6.7,the amazing spider-man 2,Color Marc Webb Emma Stone Action Adventure Fantasy Sci-Fi costumed hero death of girlfriend masked vigilante returning character killed off teenager
Color,Joseph Kosinski,30000,arcade bridge disappearance escape warrior,Action Adventure Sci-Fi,Jeff Bridges,6.8,tron: legacy,Color Joseph Kosinski Jeff Bridges Action Adventure Sci-Fi arcade bridge disappearance escape warrior
Color,John Lasseter,10000,best friend car race conspiracy gadget car spy,Adventure Animation Comedy Family Sport,Joe Mantegna,6.3,cars 2,Color John Lasseter Joe Mantegna Adventure Animation Comedy Family Sport best friend car race conspiracy gadget car spy
Color,Martin Campbell,24000,autopsy lantern planet ring test pilot,Action Adventure Sci-Fi,Ryan Reynolds,5.6,green lantern,Color Martin Campbell Ryan Reynolds Action Adventure Sci-Fi autopsy lantern planet ring test pilot
Color,Lee Unkrich,30000,college day care escape teddy bear toy,Adventure Animation Comedy Family Fantasy,Tom Hanks,8.3,toy story 3,Color Lee Unkrich Tom Hanks Adventure Animation Comedy Family Fantasy college day care escape teddy bear toy
Color,McG,0,death row future machine rescue skynet,Action Adventure Sci-Fi,Christian Bale,6.6,terminator salvation,Color McG Christian Bale Action Adventure Sci-Fi death row future machine rescue skynet
Color,James Wan,94000,car falling off a cliff hospital revenge star died before release terrorist,Action Crime Thriller,Jason Statham,7.2,furious 7,Color James Wan Jason Statham Action Crime Thriller car falling off a cliff hospital revenge star died before release terrorist
Color,Marc Forster,129000,chaos disease infection pandemic zombie,Action Adventure Horror Sci-Fi Thriller,Peter Capaldi,7.0,world war z,Color Marc Forster Peter Capaldi Action Adventure Horror Sci-Fi Thriller chaos disease infection pandemic zombie
